across			ngang qua
occur   xảy ra
occurrences   xảy ra
occurrence   tần suất xảy ra
ocean   đại dương
odd   lẻ
odds   tỷ lệ cược
odor   mùi
passes   vượt qua
or   hoặc là
on   trên
offers   đề nghị
off   tắt
offerings   lễ vật
offense   xúc phạm
offensive   phản cảm
offer   phục vụ
officer   nhân viên văn phòng
office   văn phòng
offices   văn phòng
officials   quan chức
official   chính thức
often   thường xuyên
oil   dầu
okay   Được chứ
ok   đồng ý
old   cũ
ongoing   đang diễn ra
one   một
once   Một lần
only   chỉ có
onion   củ hành
online   Trực tuyến
opened   đã mở
onto   trên
onset   khởi phát
open   mở
opera   opera
opening   khai mạc
opens   mở ra
openly   công khai
operated   vận hành
operate   vận hành
operator   nhà điều hành
operation   hoạt động
operating   điều hành
opinions   ý kiến
opinion   ý kiến
opponent   phản đối
opportunity   dịp tốt
oppose   phản đối
opposite   đối diện
opposed   phản đối
opposition   Sự đối lập
option   Lựa chọn
optional   không bắt buộc
pandemic   đại dịch
out   ngoài
order   đặt hàng
oral   uống
orange   trái cam
orbit   quỹ đạo
original   nguyên
ordered   ra lệnh
organizations   tổ chức
orders   đơn đặt hàng
organization   cơ quan
ordinary   bình thường
organic   hữu cơ
organizer   nhà tổ chức
organized   có tổ chức
organize   tổ chức
orientation   sự định hướng
orientate   định hướng
origin   gốc
ou   ồ
other   khác
originally   ban đầu
oscillate   dao động
others   khác
otherwise   nếu không thì
our   của chúng tôi
ought   nên
ourselves   chính chúng ta
outspoken   thẳng thắn
outside   ở ngoài
outbreak   sự bùng phát
outcome   kết quả
outlook   quan điểm
output   đầu ra
own   sở hữu
overwhelmed   choáng ngợp
over   kết thúc
oven   lò
outstanding   nổi bật
overall   tổng thể
overcome   vượt qua
overlook   bỏ qua
overlap   chồng chéo
owe   nợ
owners   những chủ sở hữu
owner   chủ nhân
owned   sở hữu
packages   gói
pace   tốc độ
oxygen   ôxy
ownership   quyền sở hữu
pack   đóng gói
package   gói
page   trang
pain   đau đớn
pages   trang
painful   đau đớn
paint   Sơn
painter   họa sĩ
painted   Sơn
painting   bức vẽ
pair   đôi
paintings   những bức tranh
pale   nhợt nhạt
palm   lòng bàn tay
pan   chảo
park   công viên
panic   hoảng loạn
panel   bảng điều khiển
panels   tấm
parcels   bưu kiện
pants   quân dai
pant   quần
paper   giấy
parallel   song song, tương đông
parameters   thông số
parameter   tham số
param   thông số
parcel   Bưu kiện
paris   paris
parenting   nuôi dạy con
parent   cha mẹ
parentheses   dấu ngoặc đơn
parenthesis   dấu ngoặc đơn
part   phần
parks   công viên
parking   bãi đậu xe
parked   đậu
parliament   quốc hội
partially   một phần
parts   các bộ phận
particularly   đặc biệt
participants   những người tham gia
participant   người tham gia
participate   tham dự
particular   cụ thể
participation   sự tham gia
particles   vật rất nhỏ
particle   hạt
parties   tiệc tùng
partly   từng phần
partner   cộng sự
partnership   hợp tác
party   buổi tiệc
pass   vượt qua
passage   đoạn văn
passenger   hành khách
passe   vượt qua
past   quá khứ
passion   niềm đam mê
passwords   mật khẩu
password   mật khẩu
passive   thụ động
patch   vá
path   con đường
patent   bằng sáng chế
patience   kiên nhẫn
pathology   bệnh lý
pink   Hồng
photo   hình chụp
pay   trả
patrol   tuần tra
patients   người bệnh
pattern   mẫu
pause   tạm ngừng
patterns   mô hình
paying   thanh toán
paychecks   tiền lương
people   Mọi người
payment   thanh toán
peace   Sự thanh bình
peak   cao điểm
peer   ngang nhau
peel   lột vỏ
peculiar   kỳ lạ
peasant   tá điền
penalty   phạt
pencil   bút chì
pendulum   con lắc
penny   đồng xu
perfect   hoàn hảo
percent   phần trăm
per   mỗi
pepper   tiêu
peoples   người
perceive   nhận thức
percentage   tỷ lệ phần trăm
perception   nhận thức
period   giai đoạn = Stage
performed   thực hiện
perfectly   hoàn hảo
perform   biểu diễn
performance   hiệu suất
performances   biểu diễn
perhaps   có lẽ
permanent   dài hạn
periods   Chu kỳ
permission   sự cho phép
permit   giấy phép
person   người
perpendicular   vuông góc
perpetrate   duy trì
perpetual   vĩnh viễn
persist   kiên trì
personal   cá nhân
personality   nhân cách
personally   cá nhân
personnel   nhân viên
perspective   Góc nhìn cá nhân
persuade   truy vấn
pet   vật nuôi
pervade   tràn ngập
pest   côn trùng
phase   giai đoạn
phenomenon   hiện tượng
phenomena   hiện tượng
philosophy   triết học
phone   điện thoại
photos   ảnh
photograph   ảnh chụp
photographer   nhiếp ảnh gia
physical   vật lý
phrase   cụm từ
physician   bác sĩ
physically   thể chất
piano   đàn piano
pick   chọn
picture   hình ảnh
pie   bánh
piece   cái
pile   Đóng cọc
pilot   Phi công
pine   cây thông
say   Nói
pushes   đẩy
projected   dự kiến
port   Hải cảng
pop   nhạc pop
plane   máy bay
pipe   ống
pitch   sân cỏ
plan   kế hoạch
place   địa điểm
placing   đặt
played   chơi
platform   nền tảng
planet   hành tinh
planes   máy bay
planning   lập kế hoạch
plant   cây
plastic   nhựa
plaster   Băng dán
plate   đĩa
plastics   nhựa
play   chơi
plays   vở kịch
players   người chơi
player   người chơi
pond   ao
political   chính trị
point   điểm
pleas   những lời cầu xin
plead   biện hộ
please   xin vui lòng
pleasure   vui lòng
pleased   vừa lòng
plenty   nhiều
plot   âm mưu
plus   thêm
plural   số nhiều
pocket   túi
pm   buổi chiều
poem   bài thơ
poet   bài thơ
poetry   thơ
poetic   thơ mộng
poets   nhà thơ
policy   chính sách
policies   chính sách
police   cảnh sát
pole   cây sào
politically   về mặt chính trị
politics   chính trị
politician   chính trị gia
polls   các cuộc thăm dò
poll   thăm dò ý kiến
pollution   sự ô nhiễm
pool   hồ bơi
poor   nghèo
populated   đông dân cư
popular   phổ biến
porn   khiêu dâm
porches   hiên nhà
population   dân số
porch   hiên nhà
pornography   nội dung khiêu dâm
presence   sự hiện diện
possibility   khả năng
positively   tích cực
poses   đặt ra
portrait   Chân dung
portion   phần
portable   xách tay
portant   khuân vác
portions   các phần
portray   chân dung
pose   tư thế
position   Chức vụ
positive   tích cực
possess   sở hữu
possibilities   khả năng
possessor   người chiếm hữu
possession   chiếm hữu
power   quyền lực
post   bài đăng
possible   khả thi
possibly   có khả năng
pot   nồi
postulate   định đề
potato   khoai tây
potential   tiềm năng
potentially   có tiềm năng
pound   pao
pour   đổ
poverty   nghèo nàn
powder   bột
practice   thực hành
powerful   quyền lực
practical   thực dụng
precautionary   đề phòng
pray   cầu nguyện
practices   thực hành
pragmatic   thực dụng
prayer   người cầu nguyện
precisely   đúng
precise   tóm lược
precedes   đi trước
precede   đứng trước
preceding   trước
precious   quí
precipitate   kết tủa
predict   dự đoán
precision   độ chính xác
prefer   thích hơn
preference   ưu tiên
pregnancy   thai kỳ
pregnant   có thai
preparation   sự chuẩn bị
prennent   quá khứ
premier   thủ tướng
premise   tiền đề
prepare   chuẩn bị
prescription   đơn thuốc
preposition   giới từ
price   giá bán
president   chủ tịch
present   hiện tại
presentation   thuyết trình
preserve   bảo tồn
presented   trình bày
presents   quà
preventive   phòng ngừa
press   nhấn
presidential   tổng thống
presumed   giả định
pressure   sức ép
presumably   có lẽ
pressures   áp lực
prestige   uy tín
presume   giả định
prevent   ngăn chặn
pretend   giả vờ
pretty   đẹp
prevail   Chiếm ưu thế
prevention   Phòng ngừa
previous   Trước
previously   trước đây
pri   linh mục
prima   prima
pride   tự hào
priest   thầy tu
produced   sản xuất
proclamation   tuyên bố
privacy   riêng tư
prison   tù giam
primarily   chủ yếu
primary   sơ cấp
prime   nguyên tố
principal   hiệu trưởng
primitive   nguyên thủy
principle   nguyên tắc
print   in
prior   trước
printed   in
priority   sự ưu tiên
prisoner   Tù nhân
process   quá trình
private   riêng tư
probably   có lẽ
prize   giải thưởng
probability   xác suất
problem   vấn đề
procedure   thủ tục
proceed   tiến hành
processing   Chế biến
proclaim   tuyên bố
produce   sản xuất
procure   thâu tóm
professor   Giáo sư
products   các sản phẩm
producer   nhà sản xuất
product   sản phẩm
producing   sản xuất
production   sản xuất
profession   nghề nghiệp
professional   chuyên nghiệp
profile   Hồ sơ
profit   lợi nhuận
program   chương trình
progress   phát triển
programming   lập trình
programmed   lập trình
programs   chương trình
project   dự án
prohibit   cấm
pushed   đẩy
protesters   người biểu tình
protest   phản đối
protect   bảo vệ
projecting   chiếu
promote   khuyến khích
prominent   nổi bật
promise   lời hứa
promised   đã hứa
property   bất động sản
prompt   lời nhắc
proof   bằng chứng
pronunciation   cách phát âm
proper   thích hợp
propagate   tuyên truyền
propaganda   tuyên truyền
propensity   xu hướng
properly   đúng cách
properties   tính chất
proprietary   độc quyền
proposed   đề xuất
proposal   đề nghị
proportion   tỷ lệ
propose   cầu hôn
proposals   đề xuất
proposes   đề xuất
prosecutor   công tố viên
proprietor   chủ sở hữu
prospect   tiềm năng
prosper   thịnh vượng
protection   sự bảo vệ
protein   chất đạm
provokes   khiêu khích
protests   cuộc biểu tình
protocol   giao thức
providers   nhà cung cấp
provided   cung cấp
proud   tự hào
prove   chứng minh
provide   cung cấp
provider   các nhà cung cấp
province   tỉnh
provision   điều khoản
provisions   điều khoản
provoke   kích động
published   được phát hành
public   công cộng
proximity   gần
psychological   tâm lý
prudence   thận trọng
psychologist   nhà tâm lý học
psychology   tâm lý học
publication   sự xuất bản
publicly   công khai
publish   công bố
push   đẩy
pump   máy bơm
publisher   nhà xuất bản
pull   kéo
pure   nguyên chất
punishment   hình phạt
punctual   đúng giờ
purchase   mua, tựa vào, bám vào
pupil   học sinh
purpose   mục đích
purport   mục đích
purely   hoàn toàn
pursue   theo đuổi
resident   cư dân
raising   nuôi
questions   câu hỏi
questionnaire   bảng câu hỏi
put   đặt
quarantined   cách ly
qualify   đủ điều kiện
python   trăn
quality   chất lượng
qualities   phẩm chất
quantity   định lượng
quarter   phần tư
quart   quart
quarrel   cuộc tranh cãi
quarterback   tiền vệ
question   câu hỏi
questioned   đặt câu hỏi
quitting   bỏ cuộc
quite   khá
quick   nhanh chóng
quickly   Mau
quiet   Yên tĩnh
quietly   lặng lẽ
quit   bỏ
quot   trích dẫn
race   cuộc đua
quote   Trích dẫn
racism   phân biệt chủng tộc
racial   chủng tộc
radars   radar
radical   căn bản
radio   Đài
rail   đường sắt
radius   bán kính
rain   mưa
raise   nâng cao
record   ghi lại
ranger   nhân viên kiểm lâm
rally   cuộc biểu tình
ramping   gia tăng
range   phạm vi
random   ngẫu nhiên
re   lại
rather   hơn
rash   phát ban
rank   cấp
ranging   khác nhau
rapid   nhanh
rapidly   nhanh chóng
rare   hiếm hoi
rarely   ít khi
rate   tỷ lệ
rd   lần thứ
rating   Xếp hạng
ratio   tỉ lệ
raw   nguyên
rational   hợp lý
rbefore   trước
ray   cá đuối
really   có thật không
ready   Sẵn sàng
reaches   đạt
reach   chạm tới
rePython   con trăn
reaction   phản ứng
react   phản ứng
reaching   đạt
read   đọc
reactions   phản ứng
reader   người đọc
readability   khả năng đọc
reading   đọc hiểu
readily   sẵn sàng
readers   độc giả
real   thực tế
realizing   nhận ra
reality   thực tế
realistic   thực tế
realize   nhận ra
reallows   cảnh giới
rebuild   xây dựng lại
reasons   lý do
reason   lý do
reasonable   hợp lý
reasonably   hợp lý
rebel   nổi loạn
recommendations   khuyến nghị
recent   gần đây
recall   Gợi lại
receive   nhận được
receiving   nhận
recently   gần đây
recipe   công thức
reception   tiếp nhận
recognition   sự công nhận
recognize   nhìn nhận
recommend   giới thiệu
recommendation   sự giới thiệu
recommended   đề nghị
reopen   mở lại
related   liên quan
recording   ghi âm
recorded   ghi lại
reinvented   phát minh lại
referring   giới thiệu
recover   bình phục
reduce   giảm
recovery   hồi phục
recruit   tuyển dụng
recreation   giải trí
red   màu đỏ
rectangle   hình chữ nhật
recur   tái phát
rector   hiệu trưởng
redden   đỏ
reduction   giảm
reducing   giảm
refer   tham khảo
reference   tài liệu tham khảo
references   người giới thiệu
referred   được giới thiệu
registered   đã đăng ký
refurbishing   tân trang
refugees   những người tị nạn
reflect   phản chiếu
reflection   phản ánh
reflected   phản ánh
reform   cải cách
refugee   người tị nạn
refuse   từ chối
regard   liên quan
refute   bác bỏ
regarding   về
regardless   bất kể
regime   chế độ
regex   regex
region   khu vực
regional   khu vực
register   Đăng ký
regions   vùng
reinstatement   phục hồi
regular   đều đặn
regularly   thường xuyên
regulate   điều tiết
regulation   Quy định
reinforce   củng cố
rehas   trại tập
reindeed   giới thiệu lại
reign   trị vì
reject   Từ chối
relate   liên quan
rejected   từ chối
released   phát hành
relatives   người thân
relation   quan hệ
relationship   mối quan hệ
relative   quan hệ
relationships   các mối quan hệ
relatively   tương đối
release   giải phóng
relax   thư giãn
remarkable   đáng chú ý
remain   vẫn còn
releases   phát hành
relocation   tái định cư
relevant   liên quan, thích hợp
relevance   sự liên quan
relief   cứu trợ
religion   tôn giáo
religious   Tôn giáo
rely   dựa
reluctance   miễn cưỡng
relying   dựa
remaining   còn lại
remote   Xa xôi
remember   nhớ lại
remarked   nhận xét
remind   nhắc lại
remove   tẩy
removal   gỡ bỏ
rence	null
render	kết xuất
rent	thuê
reopened	mở lại
reopening	mở lại
requirement	yêu cầu
representative	Tiêu biểu
replicating	nhân rộng
repeat	nói lại
repair	sửa
repeatedly	nhiều lần
repeated	lặp đi lặp lại
replace	thay thế
replacethe	thay thế cái
replacement	thay thế
replaced	thay thế
replaceof	thay thế
replacing	thay thế
reported	báo cáo
report	báo cáo
reply	Đáp lại
reporter	phóng viên
represent	đại diện
reporters	những phóng viên
representation	đại diện
require	yêu cầu
request	yêu cầu
reputation	uy tín
represents	đại diện
representatives	đại diện
representing	đại diện
reproduce	tái sản xuất
repress	đàn áp
repudiate	thoái thác
requests	yêu cầu
requiring	yêu cầu
requires	đòi hỏi
rescue	giải cứu
requisite	cần thiết
rereading	đọc lại
reservist	người đưa tin
reserved	kín đáo
research	nghiên cứu
researcher	nhà nghiên cứu
resemble	giống
reservation	Dự phòng
reservoir	Hồ chứa
sails	cánh buồm
s	null
rules	quy tắc
rooms	phòng
reunite	đoàn tụ
returns	trả lại
restrictions	những hạn chế
restaurants	nhà hàng
respirators	mặt nạ phòng độc
residents	cư dân
residential	khu dân cư
resist	kháng cự
residue	phần còn lại
resistance	Sức cản
resolution	độ phân giải
resolve	giải quyết
resort	phương sách
resource	nguồn
respect	sự tôn trọng
respectively	tương ứng
respond	trả lời
responding	đáp ứng
respondent	người trả lời
response	phản ứng
responsibility	nhiệm vụ
responsible	chịu trách nhiệm
rest	nghỉ ngơi
restaurant	nhà hàng
restore	khôi phục
restriction	sự hạn chế
restrict	hạn chế
results	các kết quả
result	kết quả
resulting	kết quả
resulted	kết quả
retain	giữ lại
retire	về hưu
rethat	nghỉ hưu
retard	chậm phát triển
retirement	sự nghỉ hưu
retired	đã nghỉ hưu
return	trở về
retrieve	lấy lại
returned	trả lại
returning	trở về
retweetPlay	null
rights	quyền
review	ôn tập
reversed	đảo ngược
reveal	tiết lộ
revenue	doanh thu
revealed	tiết lộ
reverberate	vang dội
reverse	đảo ngược
right	đúng
reward	phần thưởng
revolution	Cuộc cách mạng
revise	xem lại
revive	hồi sinh
revolt	nổi dậy
revolve	xoay quanh
rhythm	nhịp
rewith	viết lại
rice	cơm
rich	giàu có
rid	thoát khỏi
ride	dap xe
rifle	súng trường
riding	cưỡi
risk	rủi ro
ring	nhẫn
rigor	nghiêm ngặt
rise	tăng lên
risking	mạo hiểm
river	con sông
road	đường
ro	null
rock	đá
rob	cướp
role	vai trò
rode	cưỡi
roll	cuộn
roles	vai trò
romantic	lãng mạn
rolled	cán
roof	mái nhà
room	phòng
root	nguồn gốc
rope	dây thừng
rose	Hoa hồng
rough	thô
rotten	thối
rotate	quay
roughly	đại khái
round	tròn
route	tuyến đường
routine	công viêc hằng ngày
row	hàng
rub	chà
rule	quy tắc
rudimentary	thô sơ
ruled	cai trị
running	đang chạy
run	chạy
rural	nông thôn
rush	vội vàng
said	nói
safely	an toàn
sacred	Linh thiêng
sad	buồn
sacrifice	sự hy sinh
safe	an toàn
sadden	buồn
saddle	Yên xe
safety	sự an toàn
sailed	đi thuyền
sanjay	null
same	tương tự
sake	lợi ích
saint	thánh
salad	xà lách
salary	lương
sale	giảm giá
sales	bán hàng
salt	Muối
saline	nước muối
sample	mẫu vật
sanction	phê chuẩn
sand	cát
satellite	vệ tinh
satisfaction	sự thỏa mãn
satisfy	thỏa mãn
satisfied	hài lòng
sauce	Nước xốt
saturate	bão hòa
save	tiết kiệm
saucer	đĩa lót tách
saving	tiết kiệm
saved	lưu lại
saw	cái cưa
says	nói
scale	tỉ lệ
scalar	vô hướng
scandal	vụ bê bối
shows	trình diễn
shared	chia sẻ
seen	đã xem
security	Bảo vệ
screams	la hét
schools	trường học
school	trường học
scenario	kịch bản
scared	sợ hãi
scene	bối cảnh
schedule	lịch trình
scheme	kế hoạch
scheduled	lên kế hoạch
scholar	học giả
scholarship	học bổng
science	khoa học
scientific	thuộc về khoa học
scientist	nhà khoa học
scope	phạm vi
scold	mắng
scissors	cây kéo
scientists	các nhà khoa học
score	ghi bàn
scream	hét lên
scratch	vết trầy
season	Mùa
seamless	liền mạch
sea	biển
screen	màn
script	kịch bản
screw	Đinh ốc
se	null
search	Tìm kiếm
searches	tìm kiếm
searchand	tìm kiếm
searchmodule	tìm kiếm
searchexpects	tìm kiếm
searchto	tìm kiếm
searchof	tim kiêm
seat	ghế
second	thứ hai
secret	bí mật
secondary	thứ hai
secretary	Thư ký
section	phần
secrete	tiết ra
sector	ngành
secure	đảm bảo
see	xem
seek	tìm
seed	hạt giống
seeing	nhìn thấy
seeds	hạt giống
seems	dường như
seem	hình như
seeking	tìm kiếm
sends	gửi
selfish	ích kỷ
selected	đã chọn
segment	bộ phận
seize	nắm bắt
select	lựa chọn
seldom	hiếm khi
self	tự
selection	lựa chọn
sell	bán
senator	thượng nghị sĩ
selling	bán
send	gửi
sending	gửi
seriously	nghiêm túc
sentenced	bị kết án
sensors	cảm biến
senior	cao cấp
sense	giác quan
sensitive	nhạy cảm
sentence	kết án
series	loạt
separate	tách rời
sequence	sự nối tiếp
separators	dải phân cách
separator	dải phân cách
separated	ly thân
sequences	trình tự
serious	nghiêm trọng
set	bộ
service	dịch vụ
serve	giao banh
serves	phục vụ
services	dịch vụ
session	phiên
serving	phục vụ
shake	rung chuyển
sets	bộ
several	một số
settlement	giải quyết
setting	cài đặt
settle	giải quyết
seven	bảy
seventh	thứ bảy
sexual	tình dục
severe	dữ dội
sex	tình dục/ giới tính
sexually	giới tính
shade	bóng râm
shadow	bóng
shape	hình dạng
shall	sẽ
shame	xấu hổ
share	chia sẻ
shield	cái khiên
she	bà ấy
shaving	cạo râu
sharing	chia sẻ
shares	cổ phiếu
sharp	nhọn
sharply	mạnh
shelter	nơi trú ẩn
sheet	tấm
shear	cắt
sheep	cừu
shelf	kệ
shell	vỏ
shot	bắn
shoes	giày
shocked	sốc
ship	tàu
shift	ca
shine	tỏa sáng
shilling	run
ships	tàu thuyền
shirt	áo sơ mi
shit	Chết tiệt
shock	sốc
shoe	giày
shooting	chụp
shoot	bắn
shootings	nổ súng
shopping	mua sắm
shopper	người mua sắm
shop	cửa tiệm
shoppers	người mua sắm
shops	cửa hàng
shore	bờ biển
short	ngắn
shortly	trong thời gian ngắn
should	Nên
show	chỉ
shoulder	vai
shout	kêu la
shouted	kêu la
shouting	la hét
shown	cho xem
shower	vòi sen
sources	nguồn
social	xã hội
singer	ca sĩ
silence	Im lặng
side	bên
sick	đau ốm
shrinking	co lại
shrink	co lại
shrug	nhún vai
shut	đóng cửa
sibling	anh chị em
sides	bên
sided	mặt
signals	tín hiệu
sign	ký tên
sigh	thở dài
sight	thị giác
signal	tín hiệu
signed	đã ký
significance	ý nghĩa
significant	có ý nghĩa
significantly	đáng kể
signs	dấu hiệu
signify	biểu thị
since	từ
similar	giống
silver	bạc
silent	im lặng
similarly	tương tự
simple	đơn giản
simply	đơn giản
simplicity	sự đơn giản
sin	tội
simultaneous	đồng thời
sing	hát
soccer	bóng đá
sky	bầu trời
sit	ngồi
single	Độc thân
singing	ca hát
sink	bồn rửa
sir	quý ngài
sister	em gái
site	Địa điểm
six	sáu
sits	ngồi
situation	tình hình
size	kích thước
ski	trượt tuyết
skeleton	bộ xương
sketch	phác họa
skill	kỹ năng
skin	làn da
skills	kỹ năng
skilled	lành nghề
skirt	váy
small	nhỏ
slowing	chậm lại
slow	chậm
slide	cầu trượt
skyrockets	skyrockets
slave	nô lệ
slash	gạch chéo
skywave	bầu trời gợn sóng
sleep	ngủ
slavery	chế độ nô lệ
slaves	nô lệ
slice	lát
slight	mảnh dẻ
slightly	nhẹ nhàng
slip	trượt
slipped	trượt
slowed	chậm lại
slowly	chậm rãi
sobering	nghiêm túc
so	vì thế
smart	thông minh
smell	mùi
smile	nụ cười
smoke	Khói
smooth	trơn tru
snap	chụp nhanh
snow	tuyết
soap	xà bông
someone	người nào
some	một số
society	xã hội
societies	xã hội
soft	mềm mại
sociology	xã hội học
software	phần mềm
softly	nhẹ nhàng
